season,episode,title,air_date
4,9,Episode #4.9,2008-10-29
4,10,Episode #4.10,2008-10-31
4,11,Episode #4.11,2008-11-03
4,12,Episode #4.12,2008-11-07
4,13,Episode #4.13,2008-11-14
4,14,Episode #4.14,2008-11-21
4,15,Episode #4.15,2008-11-26
4,16,Episode #4.16,2008-12-25
4,17,Episode #4.17,2008-12-29
4,18,Episode #4.18,2009-01-01
4,19,Episode #4.19,2009-01-02
4,20,Episode #4.20,2009-05-04
4,21,Episode #4.21,2009-05-11
4,22,Episode #4.22,2009-05-18
4,23,Episode #4.23,2009-05-18
5,1,I'm Dancin' Here!,2018-12-05
5,2,Family Value$,2018-12-05
5,3,There's Snow Place Like Home,2018-12-12
5,4,$5 Redemption,2018-12-12
5,5,Beard or No Beard,2018-12-19
5,6,Happy Howie Days,2018-12-19
5,7,It Takes Two,2018-12-26
5,8,Southern Charm,2019-01-02
5,9,Ice Cream Dreams,2019-01-02
5,10,Flying High,2019-01-09
5,11,"Small Town, Big Dreams",2019-01-16
5,12,My Big Fat Greek Game Show,2019-01-23
5,13,Father Knows Best,2019-01-30
5,14,Head Over Heels,2019-02-06
5,15,Sony With a Chance of Millions,2019-02-13
5,16,Cowboy Up,2019-02-20
5,17,Cheering for a Lucky Strike,2019-02-27
5,18,Million Dollar Lane,2019-03-06
5,19,Mile-High Millionaire,2019-03-13
5,20,Bingo to a Million,2019-03-20
5,21,Million Dollar Musical,2019-03-27
5,22,Million Dollar Ironman,2019-06-12
5,23,Monopoly Money,2019-06-12
5,24,The Champ vs. The Banker,2019-06-19
5,25,Hoop Dreams,2019-06-19
5,26,Wall Street Warrior,2019-07-03
5,27,Magic Touch,2019-07-10
5,28,Roller Coaster Motion,2019-07-17
5,29,Martinis for a Million,2019-07-24
5,30,Vision Quest,2019-07-31
5,31,Looking for Luck in All the Right Cases,2019-08-07
